"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 09 09:41:19 GMT 2023","Thu Mar 09 09:41:21 GMT 2023","1337","","Create the new users.","","Verify update user api functionality","","Verify update user api functionality",""
"passed","Thu Mar 09 09:41:15 GMT 2023","Thu Mar 09 09:41:16 GMT 2023","712","","Create the new users.","","Verify create user api functionality","","Verify create user api functionality",""
"passed","Thu Mar 09 09:41:16 GMT 2023","Thu Mar 09 09:41:18 GMT 2023","1493","","Create the new users.","","Verify update user api functionality","","Verify update user api functionality",""
"passed","Thu Mar 09 09:41:16 GMT 2023","Thu Mar 09 09:41:16 GMT 2023","717","","Create the new users.","","Verify create user api functionality","","Verify create user api functionality",""
"passed","Thu Mar 09 09:41:18 GMT 2023","Thu Mar 09 09:41:19 GMT 2023","1416","","Create the new users.","","Verify update user api functionality","","Verify update user api functionality",""
"passed","Thu Mar 09 09:41:11 GMT 2023","Thu Mar 09 09:41:15 GMT 2023","3711","","Create the new users.","","Verify create user api functionality","","Verify create user api functionality",""
