"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 15 09:05:22 GMT 2023","Wed Mar 15 09:05:27 GMT 2023","4577","","Create the new users.","","Verify create user api functionality","","Verify create user api functionality",""
"passed","Wed Mar 15 09:05:35 GMT 2023","Wed Mar 15 09:05:39 GMT 2023","3256","","Create the new users.","","Verify update user api functionality","","Verify update user api functionality",""
"passed","Wed Mar 15 09:05:31 GMT 2023","Wed Mar 15 09:05:33 GMT 2023","2336","","Create the new users.","","Verify update user api functionality","","Verify update user api functionality",""
"passed","Wed Mar 15 09:05:33 GMT 2023","Wed Mar 15 09:05:35 GMT 2023","2340","","Create the new users.","","Verify update user api functionality","","Verify update user api functionality",""
"passed","Wed Mar 15 09:05:29 GMT 2023","Wed Mar 15 09:05:31 GMT 2023","1910","","Create the new users.","","Verify create user api functionality","","Verify create user api functionality",""
"passed","Wed Mar 15 09:05:27 GMT 2023","Wed Mar 15 09:05:29 GMT 2023","1930","","Create the new users.","","Verify create user api functionality","","Verify create user api functionality",""
