"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Mar 08 15:07:16 GMT 2023","Wed Mar 08 15:07:16 GMT 2023","6","","Create the new users.","","Verify update user api functionality","","Verify update user api functionality",""
"broken","Wed Mar 08 15:07:16 GMT 2023","Wed Mar 08 15:07:16 GMT 2023","24","","Create the new users.","","Verify create user api functionality","","Verify create user api functionality",""
"broken","Wed Mar 08 15:07:16 GMT 2023","Wed Mar 08 15:07:16 GMT 2023","6","","Create the new users.","","Verify create user api functionality","","Verify create user api functionality",""
"broken","Wed Mar 08 15:07:16 GMT 2023","Wed Mar 08 15:07:16 GMT 2023","6","","Create the new users.","","Verify update user api functionality","","Verify update user api functionality",""
"broken","Wed Mar 08 15:07:16 GMT 2023","Wed Mar 08 15:07:16 GMT 2023","5","","Create the new users.","","Verify create user api functionality","","Verify create user api functionality",""
"broken","Wed Mar 08 15:07:16 GMT 2023","Wed Mar 08 15:07:16 GMT 2023","7","","Create the new users.","","Verify update user api functionality","","Verify update user api functionality",""
