"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 13 00:52:58 GMT 2023","Mon Mar 13 00:53:11 GMT 2023","13469","","Create the new users.","","Verify create user api functionality","","Verify create user api functionality",""
"failed","Mon Mar 13 00:53:18 GMT 2023","Mon Mar 13 00:53:19 GMT 2023","1013","","Create the new users.","","Verify create user api functionality","","Verify create user api functionality",""
"passed","Mon Mar 13 00:53:19 GMT 2023","Mon Mar 13 00:53:34 GMT 2023","15593","","Create the new users.","","Verify update user api functionality","","Verify update user api functionality",""
"passed","Mon Mar 13 00:53:34 GMT 2023","Mon Mar 13 00:53:57 GMT 2023","22726","","Create the new users.","","Verify update user api functionality","","Verify update user api functionality",""
"passed","Mon Mar 13 00:53:11 GMT 2023","Mon Mar 13 00:53:18 GMT 2023","6314","","Create the new users.","","Verify create user api functionality","","Verify create user api functionality",""
"passed","Mon Mar 13 00:53:57 GMT 2023","Mon Mar 13 00:54:03 GMT 2023","6366","","Create the new users.","","Verify update user api functionality","","Verify update user api functionality",""
